"","sampleID.exp","test1.exp","allP.exp","test1.exp.ln","allP.exp.ln"
"75","1498",39.13,40,3.66688943622232,3.68887945411394
"76","1499",40,27.54,3.68887945411394,3.31563949330051
"77","1508",40,33.3,3.68887945411394,3.5055573969864
"78","1521",36.89,40,3.60794051160858,3.68887945411394
"79","1522",40,39.89,3.68887945411394,3.68612566591732
"80","1523",40,40,3.68887945411394,3.68887945411394
"81","1524",28.11,40,3.33612538491844,3.68887945411394
"82","1533",27.44,40,3.31200180285768,3.68887945411394
"83","1534",26.07,35.8,3.26078522794541,3.57794789340665
"84","1535",40,40,3.68887945411394,3.68887945411394
"85","1536",40,40,3.68887945411394,3.68887945411394
"86","1545",40,34.62,3.68887945411394,3.54443154974806
"87","1546",40,32.79,3.68887945411394,3.49012359085656
"88","1557",31.98,40,3.46511070740581,3.68887945411394
"89","1558",38.84,40,3.65945064342312,3.68887945411394
"90","1809",32.51,38.98,3.48154773431581,3.66304869407941
"91","1810",31.13,38.23,3.43817198445352,3.64362054770832
"92","1811",32.78,40,3.48981857331568,3.68887945411394
"93","1812",32.31,39.02,3.47537677983641,3.66407433519497
"94","1821",32.48,38.91,3.48062451529348,3.66125128699646
"95","1822",40,40,3.68887945411394,3.68887945411394
"96","1823",31.99,38.41,3.46542335396143,3.64831784235781
"97","1824",31.25,38.91,3.44201937618241,3.66125128699646
"98","1845",31,37.93,3.43398720448515,3.63574235570081
"99","1846",31.5,39.19,3.44998754583159,3.66842161221154
"100","1847",32.68,39.28,3.4867632699918,3.67071548348627
"101","1848",31.1,38.04,3.43720781918519,3.63863823767719
"102","499",31.83,38.41,3.460409241294,3.64831784235781
"103","500",31.56,38.59,3.45189049597767,3.65299317554953
"104","509",32.57,39.55,3.48339161928814,3.67756569421366
"105","510",31.72,38.73,3.45694739676665,3.65661449352666
"106","511",32.81,39.92,3.49073334697301,3.68687745144326
"107","512",31.9,38.06,3.4626060097908,3.639163861868
"108","521",32.3,38.32,3.47506723022861,3.64597195310266
"109","522",36.05,40,3.58490686373096,3.68887945411394
"110","523",31.85,38.87,3.46103738201817,3.66022274486413
"111","524",31.53,38.78,3.45093947355697,3.65790464981451
"112","533",31.97,38.86,3.46479796307175,3.65996544394929
"113","534",31.9,39.13,3.4626060097908,3.66688943622232
"114","535",32.31,39.04,3.47537677983641,3.66458676154489
"115","536",33.73,39.65,3.51838764907356,3.68009094808086
"116","545",30.66,37.45,3.42295887344367,3.62300670996323
"117","547",31.03,38.85,3.43495447846029,3.65970807681366
"118","548",34.56,40,3.54269694393586,3.68887945411394
"119","557",32.57,39.92,3.48339161928814,3.68687745144326
"120","558",31.63,39.04,3.45410603731756,3.66458676154489
"121","559",32.07,38.92,3.46792101370506,3.6615082573178
"122","560",32.14,38.67,3.47010136030937,3.65506410561921
"123","569",31.57,38.03,3.4522073025699,3.63837532194017
"124","570",27.94,40,3.33005935382882,3.68887945411394
"125","571",31.91,39.08,3.46291944029015,3.66561082717458
"126","572",32.04,39.69,3.46698512220016,3.68109926679497
"127","581",31.95,39.34,3.46417218082354,3.67224181296091
"128","582",33.17,39.52,3.50164585295896,3.67680687287967
"129","583",37.69,40,3.62939480727904,3.68887945411394
"130","584",31.99,38.34,3.46542335396143,3.6464937376175
"131","593",31.86,38.02,3.4613513044819,3.63811233706028
"132","594",26.43,40,3.2744997286162,3.68887945411394
"133","595",31.39,38.64,3.44648937085386,3.65428800934432
"134","596",31.44,39,3.44808096756101,3.66356164612965
"135","605",32.16,40,3.47072344431077,3.68887945411394
"136","606",32.26,38.32,3.47382807269706,3.64597195310266
"137","607",32.07,39.72,3.46792101370506,3.68185483917697
"138","608",32.08,39.66,3.46823278299831,3.68034312309165
"139","617",36.07,40,3.58546149491545,3.68887945411394
"140","618",28.51,40,3.35025490292458,3.68887945411394
"141","619",31.31,38.08,3.44393753533831,3.63968920992316
"142","620",31.59,38.64,3.45284061481399,3.65428800934432
"143","629",32.08,38.38,3.46823278299831,3.64753649057955
"144","630",32.73,38.98,3.48829208851309,3.66304869407941
"145","631",33.17,38.99,3.50164585295896,3.66330520299451
"146","632",31.81,38.67,3.45978070576105,3.65506410561921
"147","641",30.78,40,3.42686512841073,3.68887945411394
"148","642",32.31,40,3.47537677983641,3.68887945411394
"149","643",31.23,39.05,3.44137917129499,3.66484287628569
"150","644",31.19,38.39,3.44009753061971,3.64779700901271
"151","653",31.82,38.51,3.46009502290964,3.65091794782682
"152","654",31.88,38.47,3.46197885392201,3.6498787167642
"153","655",31.4,38.46,3.44680789291421,3.64961874016063
"154","656",31.29,38.03,3.44329855768079,3.63837532194017
"155","665",33.03,40,3.4974162394027,3.68887945411394
"156","666",23.17,40,3.14285833844428,3.68887945411394
"157","667",32.21,38.65,3.47227696334311,3.65454677503343
"158","668",34.35,40,3.53660201866836,3.68887945411394
"159","677",32.1,38.9,3.46885603013597,3.6609942506244
"160","678",31.71,38.54,3.45663208855026,3.65169666298622
"161","679",30.98,38.21,3.43334183498872,3.64309726145881
"162","680",31.66,39.02,3.45505405445287,3.66407433519497
"163","689",31.57,39.28,3.4522073025699,3.67071548348627
"164","690",40,40,3.68887945411394,3.68887945411394
"165","691",31.49,38.46,3.44967003511293,3.64961874016063
"166","692",31.44,38.55,3.44808096756101,3.65195610000934
"167","701",30.42,37.64,3.41510028683115,3.62806731471718
"168","702",30.73,38.06,3.42523937614239,3.639163861868
"169","703",31.32,37.8,3.4442568711226,3.63230910262554
"170","704",30.62,37.33,3.42165339022954,3.61979729292649
"171","713",32.98,39.63,3.49590131713145,3.67958640720234
"172","714",37.73,40,3.63045553397622,3.68887945411394
"173","715",32.13,38.42,3.46979017312777,3.64857815734041
"174","977",34.71,40,3.5470278298737,3.68887945411394
"175","978",32.02,39.1,3.46636070756857,3.66612246699132
"176","979",32.29,38.94,3.47475758477018,3.66202199994405
"177","980",31.09,39.13,3.43688622407066,3.66688943622232
