"","sampleID.exp","test1.exp","allP.exp","test1.exp.ln","allP.exp.ln"
"154","800",32.58,38.55,3.4836986031739,3.65195610000934
"155","809",32.58,39.76,3.4836986031739,3.68286138178837
"156","810",33.09,39.1,3.49923112193352,3.66612246699132
"157","811",32.45,40,3.4797004431501,3.68887945411394
"158","812",33.49,38.8,3.51124688680611,3.65842024662923
"159","821",32.32,38.38,3.47568623365289,3.64753649057955
"160","822",32.79,39.24,3.49012359085656,3.66969663469716
"161","823",33.07,38.7,3.4986265269937,3.65583960003574
"162","824",32.08,38.47,3.46823278299831,3.6498787167642
"163","833",31.68,37.94,3.45568556694622,3.63600596450687
"164","834",32.96,38.9,3.49529470504127,3.6609942506244
"165","835",32.01,38.2,3.46604835398177,3.64283551561253
"166","836",31.75,37.91,3.4578927253387,3.63521492952824
"167","845",31.86,38.28,3.4613513044819,3.64492756658475
"168","846",31.39,38.73,3.44648937085386,3.65661449352666
"169","847",31.42,38.5,3.44744463282748,3.65065824129374
"170","848",31.88,37.7,3.46197885392201,3.62966009445396
"171","857",32.49,38.75,3.48093234968101,3.65713075579936
"172","858",32.01,38.51,3.46604835398177,3.65091794782682
"173","859",32.31,39.99,3.47537677983641,3.68862942285873
"174","860",33.06,40,3.49832409239288,3.68887945411394
"175","869",32.73,39,3.48829208851309,3.66356164612965
"176","870",33.46,39.4,3.51035069555868,3.67376581630389
"177","871",32.78,40,3.48981857331568,3.68887945411394
"178","872",33.78,39.13,3.51986891137965,3.66688943622232
"179","881",34.74,38.71,3.54789176081296,3.65609796458956
"180","882",35.8,40,3.57794789340665,3.68887945411394
"181","884",37.84,40,3.63336674418368,3.68887945411394
"182","89",32.56,39.26,3.48308454113434,3.67020618884832
"183","893",31.55,38.46,3.45157358898722,3.64961874016063
"184","894",31.67,38.43,3.45536986055055,3.64883840457675
"185","895",31.97,38.56,3.46479796307175,3.65221546974235
"186","896",33.46,40,3.51035069555868,3.68887945411394
"187","9",32.61,38.73,3.48461898980123,3.65661449352666
"188","90",32.83,38.87,3.4913427315135,3.66022274486413
"189","905",32.71,38.8,3.48768084155029,3.65842024662923
"190","906",33.26,39.02,3.50435547376478,3.66407433519497
"191","907",32.6,39.01,3.48431228837266,3.66381802351856
"192","908",31.82,37.96,3.46009502290964,3.63653297374173
"193","91",32.89,38.2,3.49316866020097,3.64283551561253
"194","917",31.78,38.24,3.45883716110857,3.6438820881832
"195","918",32.55,38.91,3.48277736865458,3.66125128699646
"196","919",32.73,39.14,3.48829208851309,3.66714496196793
"197","92",32.45,38.39,3.4797004431501,3.64779700901271
"198","920",31.81,38.26,3.45978070576105,3.64440496401211
"199","929",31.2,38.11,3.44041809481544,3.64047671488577
"200","930",32.87,38.96,3.49256038767613,3.66253547877433
"201","931",31.91,39.22,3.46291944029015,3.6691868207682
"202","932",32.51,39.85,3.48154773431581,3.68512240523622
"203","953",31.42,38.14,3.44744463282748,3.64126360017227
"204","954",31.59,38.71,3.45284061481399,3.65609796458956
"205","955",31.42,39.1,3.44744463282748,3.66612246699132
"206","956",31.69,38.16,3.45600117370283,3.64178784658009
